"UNITID_P","INSTNM","BRANCH","Address","City","State","Zip","sector_cd","sector_desc","men_total","women_total","total","MURD5","NEG_M5","FORCIB5","NONFOR5","ROBBE5","AGG_A5","BURGLA5","VEHIC5","ARSON5","MURD6","NEG_M6","FORCIB6","NONFOR6","ROBBE6","AGG_A6","BURGLA6","VEHIC6","ARSON6","MURD7","NEG_M7","FORCIB7","NONFOR7","ROBBE7","AGG_A7","BURGLA7","VEHIC7","ARSON7","FILTER05","FILTER06","FILTER07"
10199401,"Reid State Technical College","Main Campus","I65 AND HWY 83","EVERGREEN","AL",36401,4,"Public, 2-year",191,393,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10203001,"Bishop State Community College","Main Campus","351 NORTH BROAD STREET","MOBILE","AL",366035898,4,"Public, 2-year",949,1862,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
10204901,"Samford University","Main Campus","800 LAKESHORE DR","BIRMINGHAM","AL",352292240,2,"Private nonprofit, 4-year or above",NA,NA,NA,0,0,1,0,0,0,18,2,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,5,1,0,1,1,1
10206701,"Shelton State Community College","Main Campus","9500 OLD GREENSBORO RD","TUSCALOOSA","AL",35405,4,"Public, 2-year",2432,2891,5323,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10206702,"Shelton State Community College","C. A. Fredd Campus","3401 MARTIN LUTHER KING BLVD","TUSCALOOSA","AL",354013541,4,"Public, 2-year",2432,2891,5323,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10207601,"Snead State Community College","Main Campus","P.O. Box 734","BOAZ","AL",359570734,4,"Public, 2-year",763,1395,2158,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10209401,"University of South Alabama","Main Campus","307 N UNIVERSITY BLVD","MOBILE","AL",366880002,1,"Public, 4-year or above",5230,8549,13779,0,0,1,0,4,5,22,4,0,0,0,2,0,1,3,24,3,0,0,0,3,0,0,7,36,7,0,1,1,1
10209405,"University of South Alabama","USA Springhill Ave. Campus","1504 Springhill Ave","Mobile","AL",36604,1,"Public, 4-year or above",5230,8549,13779,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10209406,"University of South Alabama","USA Brookley","254 Old Bay Front Rd.","Mobile","AL",36615,1,"Public, 4-year or above",5230,8549,13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10209411,"University of South Alabama","USA Fairhope","10 N. Summit St.","Fairhope","AL",36532,1,"Public, 4-year or above",5230,8549,13779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,1
10221601,"Southern Community College","Main Campus","205 S MAIN ST","TUSKEGEE","AL",360830688,5,"Private nonprofit, 2-year",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10223401,"Spring Hill College","Spring Hill College","4000 DAUPHIN ST","MOBILE","AL",366081791,2,"Private nonprofit, 4-year or above",NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,1,1
10226101,"Southeastern Bible College","Main Campus","2545 Valleydale Road","BIRMINGHAM","AL",352442083,2,"Private nonprofit, 4-year or above",133,87,220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10227001,"Stillman College","Main Campus","3601 Stillman Boulevard","TUSCALOOSA","AL",35401,2,"Private nonprofit, 4-year or above",411,504,915,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,1,1,1
10229801,"Talladega College","Main Campus","627 W BATTLE ST","TALLADEGA","AL",35160,2,"Private nonprofit, 4-year or above",106,244,350,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,0,1,15,1,0,1,1,1
10231301,"H Councill Trenholm State Technical College","Main Campus - Trenholm Campus","1225 AIR BASE BLVD","MONTGOMERY","AL",361083199,4,"Public, 2-year",667,673,1340,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,1,1
10236801,"Troy University","Troy Campus","University Avenue","TROY","AL",360820001,1,"Public, 4-year or above",NA,NA,NA,0,0,1,0,1,0,2,0,1,0,0,2,0,0,1,58,2,0,0,0,1,0,2,0,29,0,0,1,1,1
10236802,"Troy University","Phenix City Campus","1 University Place","Phenix City","AL",36869,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236803,"Troy University","Montgomery Campus","231 Montgomery Street","Montgomery","AL",361034419,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236804,"Troy University","Dothan Campus","501 University Drive","Dothan","AL",363040368,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236805,"Troy University","Atlantic Region","5425 Robin Hood Road, Suite B1","Norfolk","VA",23513,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10236806,"Troy University","Florida Region","81 Beal Parkway, S. E.","Ft Walton Beach","FL",32548,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236807,"Troy University","Southeast Region","506 Manchester Expressway, St. B20","Columbus","GA",31914,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236808,"Troy University","Western Region","5825 Delmonico Drive, Suite 120","Colorado Springs","CO",80919,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10236809,"Troy University","Distance Learning","Extended Learning Center Brundidge Street","Troy","AL",36082,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10237701,"Tuskegee University","Main Campus","Kresge Center, 3rd Floor","Tuskegee","AL",360881920,2,"Private nonprofit, 4-year or above",1248,1688,2936,0,0,0,0,3,1,29,0,0,0,0,1,0,4,2,23,3,1,0,0,0,0,7,9,30,2,0,1,1,1
10239501,"United States Sports Academy","Main Campus","ONE ACADEMY DR","DAPHNE","AL",365267055,2,"Private nonprofit, 4-year or above",380,142,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10242901,"Bevill State Community College","Main Campus","100 STATE ST","SUMITON","AL",35148,4,"Public, 2-year",1326,2661,3987,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,1
10255301,"University of Alaska Anchorage","Anchorage Campus","3211 PROVIDENCE DR","ANCHORAGE","AK",99508,1,"Public, 4-year or above",6454,10009,16463,0,0,0,0,1,5,9,1,0,0,0,1,0,5,8,9,2,0,0,0,1,0,1,2,3,4,1,1,1,1
10255302,"University of Alaska Anchorage","Matanuska-Susitna","Mile 2 Trunk Road","Palmer","AK",99645,1,"Public, 4-year or above",6454,10009,16463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10255303,"University of Alaska Anchorage","Kenai River Campus","34820 College Drive","Soldotna","AK",99669,1,"Public, 4-year or above",6454,10009,16463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10255304,"University of Alaska Anchorage","Kachemak Bay Campus","533 E. Pioneer Avenue","Homer","AK",996037624,1,"Public, 4-year or above",6454,10009,16463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10255305,"University of Alaska Anchorage","Kodiak College","117 Benny Benson Drive","Kodiak","AK",99615,1,"Public, 4-year or above",6454,10009,16463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10261401,"University of Alaska Fairbanks","University of Alaska Fairbanks","P.O. Box 757480","FAIRBANKS","AK",997757480,1,"Public, 4-year or above",3554,5064,8618,0,0,2,0,0,2,13,0,0,0,0,3,0,0,2,15,0,1,0,0,2,0,0,0,24,0,0,1,1,1
10261402,"University of Alaska Fairbanks","Kuskokwim rural campus","201 Akiak Drive","Bethel","AK",995590368,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1
10261403,"University of Alaska Fairbanks","Northwest rural campus","Pouch 400","Nome","AK",99762,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10261404,"University of Alaska Fairbanks","Bristol Bay rural campus","Box 1070","Dillingham","AK",99576,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10261405,"University of Alaska Fairbanks","Chukchi rural campus","Box 297","Kotzebue","AK",99752,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10261406,"University of Alaska Fairbanks","Interior- Aleutians campus","P.O. Box 756720","Fairbanks","AK",997756720,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10261407,"University of Alaska Fairbanks","Tanana Valley campus","604 Barnette Street","Fairbanks","AK",99701,1,"Public, 4-year or above",3554,5064,8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10263201,"University of Alaska Southeast","Main Campus","11120 GLACIER HWY","JUNEAU","AK",99801,1,"Public, 4-year or above",1018,1934,2952,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,1
