"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county"
612,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.45,-66.73,"PR",NA,"Instituto de Banca y Comercio Inc","Arecibo","Arecibo Municipio"
612,NA,NA,NA,NA,NA,NA,NA,64,NA,64,64,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.45,-66.73,"PR",NA,"Modern Hairstyling Institute-Arecibo","Arecibo","Arecibo Municipio"
612,NA,NA,NA,NA,NA,NA,NA,1451,NA,1451,1451,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.45,-66.73,"PR",NA,"National University College-Arecibo","Arecibo","Arecibo Municipio"
612,NA,NA,NA,NA,NA,NA,NA,13058,NA,13058,13058,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.45,-66.73,"PR",NA,"Universidad Del Este","Arecibo","Arecibo Municipio"
613,NA,NA,574,213,NA,NA,574,NA,213,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.45,-66.73,"PR","Private for-profit, less-than 2-year","Institute of Beauty Careers","Arecibo",""
614,NA,NA,4522,4878,NA,NA,4522,4536,4878,4536,4536,0,0,0,0,NA,NA,NA,NA,0,0,0,18.45,-66.73,"PR","Private nonprofit, 4-year or above","Inter American University of Puerto Rico-Arecibo","Arecibo",""
617,NA,NA,NA,13317,NA,NA,NA,13058,13317,13058,13058,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.45,-66.56,"PR",NA,"Universidad Del Este","Barceloneta","Barceloneta Municipio"
617,NA,NA,NA,16190,NA,NA,NA,17509,16190,17509,17509,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.45,-66.56,"PR",NA,"Universidad Del Turabo","Barceloneta","Barceloneta Municipio"
637,NA,NA,NA,151,NA,NA,NA,513,151,513,513,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.08,-66.96,"PR",NA,"Academia Serrant Inc","Sabana Grande","Sabana Grande Municipio"
641,NA,NA,1604,1623,NA,NA,1604,1461,1623,1461,1461,0,0,0,0,NA,NA,NA,NA,0,0,0,18.27,-66.7,"PR","Public, 4-year or above","University of Puerto Rico-Utuado","Utuado","Utuado Municipio"
641,NA,NA,11294,13317,NA,NA,11294,NA,13317,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.27,-66.7,"PR","Private nonprofit, 4-year or above","Universidad Del Este","Utuado","Utuado Municipio"
659,NA,NA,NA,NA,NA,NA,NA,84,NA,84,84,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.48,-66.82,"PR",NA,"Dewey University-Hatillo","Hatillo","Hatillo Municipio"
662,NA,NA,NA,102,NA,NA,NA,NA,102,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.5,-67.02,"PR",NA,"Escuela de Peritos Electricitas de Isabela","Isabela","Isabela Municipio"
664,NA,NA,NA,12622,NA,NA,NA,13919,12622,13919,13919,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.22,-66.59,"PR",NA,"Universidad Metropolitana","Jayuya","Jayuya Municipio"
667,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.04,-67.06,"PR",NA,"Instituto de Banca y Comercio Inc","Lajas","Lajas Municipio"
674,NA,NA,11294,NA,NA,NA,11294,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.43,-66.48,"PR","Private nonprofit, 4-year or above","Universidad Del Este","Manati","Manatí Municipio"
674,NA,NA,98,NA,NA,NA,98,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.43,-66.48,"PR","Private for-profit, less-than 2-year","Professional Electric School","Manati","Manatí Municipio"
674,NA,NA,NA,77,NA,NA,NA,44,77,44,44,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.43,-66.48,"PR",NA,"Professional Electrical School Inc","Manati","Manatí Municipio"
674,NA,NA,NA,1469,NA,NA,NA,1337,1469,1337,1337,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.43,-66.48,"PR",NA,"Atenas College","Manati","Manatí Municipio"
674,NA,NA,NA,NA,NA,NA,NA,208,NA,208,208,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-66.48,"PR",NA,"Institute of Beauty Careers","Manati","Manatí Municipio"
674,NA,NA,NA,NA,NA,NA,NA,488,NA,488,488,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-66.48,"PR",NA,"ICPR Junior College-Manati","Manati","Manatí Municipio"
674,NA,NA,NA,NA,NA,NA,NA,508,NA,508,508,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-66.48,"PR",NA,"Dewey University-Manati","Manati","Manatí Municipio"
676,NA,NA,28,NA,NA,NA,28,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.39,-67.11,"PR","Private for-profit, less-than 2-year","Institute of Beauty Occupations and Technology","Moca","Moca Municipio"
676,NA,NA,NA,36,NA,NA,NA,NA,36,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.39,-67.11,"PR",NA,"Institute of Beauty Occupation and Technology Course","Moca","Moca Municipio"
680,NA,NA,152,422,NA,NA,152,NA,422,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.2,-67.14,"PR","Private for-profit, less-than 2-year","Emmas Beauty Academy","Mayaguez","Mayagüez Municipio"
680,NA,NA,2757,NA,NA,NA,2757,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,-67.14,"PR","Private for-profit, 2-year","Caguas Institute of Mechanical Technology","Mayaguez","Mayagüez Municipio"
680,NA,NA,NA,1498,NA,NA,NA,1505,1498,1505,1505,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Pontifical Catholic University of Puerto Rico-Mayaguez","Mayaguez","Mayagüez Municipio"
680,NA,NA,NA,98,NA,NA,NA,73,98,73,73,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Institucion Chaviano de Mayaguez","Mayaguez","Mayagüez Municipio"
680,NA,NA,NA,NA,NA,NA,NA,372,NA,372,372,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Emma's Beauty Academy-Mayaguez","Mayaguez","Mayagüez Municipio"
680,NA,NA,NA,NA,NA,NA,NA,2326,NA,2326,2326,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Ponce Paramedical College Inc","Mayaguez","Mayagüez Municipio"
680,NA,NA,NA,NA,NA,NA,NA,253,NA,253,253,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Centro de Estudios Multidisciplinarios-Mayaguez","Mayaguez","Mayagüez Municipio"
681,NA,NA,12860,13852,NA,NA,12860,NA,13852,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.2,-67.14,"PR","Public, 4-year or above","University of Puerto Rico-Mayaguez","Mayaguez",""
681,NA,NA,NA,3554,NA,NA,NA,NA,3554,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.2,-67.14,"PR",NA,"Mech-Tech College LLC","Mayaguez",""
681,NA,NA,NA,NA,NA,NA,NA,2975,NA,2975,2975,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.2,-67.14,"PR",NA,"Mech-Tech College","Mayaguez",""
685,NA,NA,835,1084,NA,NA,835,NA,1084,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.33,-66.99,"PR","Private for-profit, 4-year or above","EDP College of Puerto Rico Inc-San Sebastian","San Sebastian","San Sebastián Municipio"
685,NA,NA,323,328,NA,NA,323,193,328,193,193,0,0,0,0,NA,NA,NA,NA,0,0,0,18.33,-66.99,"PR","Private for-profit, less-than 2-year","Educational Technical College-Recinto de san Sebastian","San Sebastian","San Sebastián Municipio"
685,NA,NA,NA,NA,NA,NA,NA,1118,NA,1118,1118,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.33,-66.99,"PR",NA,"EDP University of Puerto Rico Inc-San Sebastian","San Sebastian","San Sebastián Municipio"
685,NA,NA,NA,NA,NA,NA,NA,1118,NA,1118,1118,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.33,-66.99,"PR",NA,"EDP University of Puerto Rico Inc-San Sebastian","San Sebastian","San Sebastián Municipio"
693,NA,NA,72,144,NA,NA,72,NA,144,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.44,-66.39,"PR","Private for-profit, less-than 2-year","Globelle Technical Institute","Vega Baja","Vega Baja Municipio"
693,NA,NA,NA,NA,NA,NA,NA,475,NA,475,475,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.44,-66.39,"PR",NA,"Caribbean University-Vega Baja","Vega Baja","Vega Baja Municipio"
694,NA,NA,2757,NA,NA,NA,2757,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.48,-66.39,"PR","Private for-profit, 2-year","Caguas Institute of Mechanical Technology","Vega Baja","Vega Baja Municipio"
694,NA,NA,NA,3554,NA,NA,NA,NA,3554,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.48,-66.39,"PR",NA,"Mech-Tech College LLC","Vega Baja","Vega Baja Municipio"
694,NA,NA,NA,NA,NA,NA,NA,2975,NA,2975,2975,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.48,-66.39,"PR",NA,"Mech-Tech College","Vega Baja","Vega Baja Municipio"
698,NA,NA,11294,13317,NA,NA,11294,13058,13317,13058,13058,0,0,0,0,NA,NA,NA,NA,0,0,0,18.03,-66.86,"PR","Private nonprofit, 4-year or above","Universidad Del Este","Yauco","Yauco Municipio"
698,NA,NA,NA,6048,NA,NA,NA,NA,6048,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.03,-66.86,"PR",NA,"Inter American University of Puerto Rico-Ponce","Yauco","Yauco Municipio"
698,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.03,-66.86,"PR",NA,"Instituto de Banca y Comercio Inc","Yauco","Yauco Municipio"
716,NA,NA,NA,NA,NA,NA,NA,1227,NA,1227,1227,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17.98,-66.6,"PR",NA,"Caribbean University-Ponce","Ponce","Ponce Municipio"
717,NA,NA,736,753,NA,NA,736,665,753,665,665,0,0,0,0,NA,NA,NA,NA,0,0,0,18,-66.61,"PR","Public, 2-year","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","Ponce","Ponce Municipio"
717,NA,NA,NA,6048,NA,NA,NA,NA,6048,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18,-66.61,"PR",NA,"Inter American University of Puerto Rico-Ponce","Ponce","Ponce Municipio"
718,NA,NA,NA,16190,NA,NA,NA,NA,16190,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.21,-65.73,"PR",NA,"Universidad Del Turabo","Naguabo","Naguabo Municipio"
725,NA,NA,NA,1344,NA,NA,NA,NA,1344,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.23,-66.03,"PR",NA,"Columbia Centro Universitario","Caguas","Caguas Municipio"
725,NA,NA,NA,318,NA,NA,NA,NA,318,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.23,-66.03,"PR",NA,"Hispanic American College","Caguas","Caguas Municipio"
726,NA,NA,NA,1843,NA,NA,NA,NA,1843,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.23,-66.03,"PR",NA,"Huertas Junior College","Caguas",""
726,NA,NA,NA,NA,NA,NA,NA,1632,NA,1632,1632,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.23,-66.03,"PR",NA,"Columbia Central University-Caguas","Caguas",""
726,NA,NA,NA,NA,NA,NA,NA,1278,NA,1278,1278,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.23,-66.03,"PR",NA,"Huertas College","Caguas",""
726,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.23,-66.03,"PR",NA,"Instituto de Banca y Comercio Inc","Caguas",""
730,NA,NA,NA,48,NA,NA,NA,124,48,124,124,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.03,-66.62,"PR",NA,"Instituto Educativo Premier","Ponce","Ponce Municipio"
731,NA,NA,394,343,NA,NA,394,NA,343,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.11,-66.63,"PR","Private for-profit, less-than 2-year","Automeca Technical College","Ponce","Ponce Municipio"
731,NA,NA,NA,NA,NA,NA,NA,210,NA,210,210,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.11,-66.63,"PR",NA,"Automeca Technical College-Ponce","Ponce","Ponce Municipio"
732,NA,NA,1501,1402,NA,NA,1501,NA,1402,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.98,-66.6,"PR","Private nonprofit, 4-year or above","Caribbean University-Ponce","Ponce",""
732,NA,NA,NA,622,NA,NA,NA,NA,622,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,17.98,-66.6,"PR",NA,"Ponce School of Medicine","Ponce",""
732,NA,NA,NA,16190,NA,NA,NA,17509,16190,17509,17509,NA,NA,0,0,NA,NA,NA,NA,0,0,0,17.98,-66.6,"PR",NA,"Universidad Del Turabo","Ponce",""
732,NA,NA,NA,NA,NA,NA,NA,2975,NA,2975,2975,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17.98,-66.6,"PR",NA,"Mech-Tech College","Ponce",""
736,NA,NA,3660,NA,NA,NA,3660,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.11,-66.16,"PR","Public, 4-year or above","University of Puerto Rico-Cayey University College","Cayey","Cayey Municipio"
736,NA,NA,NA,3830,NA,NA,NA,NA,3830,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.11,-66.16,"PR",NA,"University of Puerto Rico at Cayey","Cayey","Cayey Municipio"
736,NA,NA,NA,NA,NA,NA,NA,3707,NA,3707,3707,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.11,-66.16,"PR",NA,"University of Puerto Rico-Cayey","Cayey","Cayey Municipio"
737,NA,NA,NA,16190,NA,NA,NA,17509,16190,17509,17509,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.11,-66.16,"PR",NA,"Universidad Del Turabo","Cayey",""
737,NA,NA,NA,NA,NA,NA,NA,240,NA,240,240,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.11,-66.16,"PR",NA,"Liberty Technical College","Cayey",""
738,NA,NA,199,195,NA,NA,199,NA,195,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.33,-65.65,"PR","Private for-profit, less-than 2-year","Modern Hairstyling Institute","Fajardo","Fajardo Municipio"
738,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.33,-65.65,"PR",NA,"Instituto de Banca y Comercio Inc","Fajardo","Fajardo Municipio"
738,NA,NA,NA,NA,NA,NA,NA,152,NA,152,152,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.33,-65.65,"PR",NA,"Modern Hairstyling Institute-Carolina","Fajardo","Fajardo Municipio"
738,NA,NA,NA,NA,NA,NA,NA,141,NA,141,141,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.33,-65.65,"PR",NA,"Dewey University-Fajardo","Fajardo","Fajardo Municipio"
745,NA,NA,1357,1567,NA,NA,1357,NA,1567,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.38,-65.83,"PR","Private for-profit, 2-year","National College of Business and Technology-Rio Grande","Rio Grande","Río Grande Municipio"
745,NA,NA,NA,NA,NA,NA,NA,1527,NA,1527,1527,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.38,-65.83,"PR",NA,"National University College-Rio Grande","Rio Grande","Río Grande Municipio"
745,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.38,-65.83,"PR",NA,"Institute of Beauty Occupation and Technology Course","Rio Grande","Río Grande Municipio"
754,NA,NA,44,108,NA,NA,44,99,108,99,99,0,0,0,0,NA,NA,NA,NA,0,0,0,18.19,-65.96,"PR","not Dertermined yet","MyrAngel Beauty Institute","San Lorenzo","San Lorenzo Municipio"
766,NA,NA,NA,6048,NA,NA,NA,NA,6048,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.13,-66.48,"PR",NA,"Inter American University of Puerto Rico-Ponce","Villalba","Villalba Municipio"
767,NA,NA,NA,16190,NA,NA,NA,17509,16190,17509,17509,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.04,-65.87,"PR",NA,"Universidad Del Turabo","Yabucoa","Yabucoa Municipio"
769,NA,NA,322,304,NA,NA,322,NA,304,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.08,-66.36,"PR","Private for-profit, less-than 2-year","Educational Technical College-Recinto De Coama","Coamo","Coamo Municipio"
769,NA,NA,NA,NA,NA,NA,NA,253,NA,253,253,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.08,-66.36,"PR",NA,"Educational Technical College-Recinto de Coamo","Coamo","Coamo Municipio"
778,NA,NA,NA,NA,NA,NA,NA,446,NA,446,446,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.25,-65.97,"PR",NA,"Hispanic American College","Gurabo","Gurabo Municipio"
782,NA,NA,NA,NA,NA,NA,NA,13919,NA,13919,13919,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.22,-66.22,"PR",NA,"Universidad Metropolitana","Comerio","Comerío Municipio"
784,NA,NA,2258,2377,NA,NA,2258,NA,2377,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.97,-66.11,"PR","Private nonprofit, 4-year or above","Inter American University of Puerto Rico-Guayama","Guayama","Guayama Municipio"
784,NA,NA,204,247,NA,NA,204,NA,247,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.97,-66.11,"PR","Private for-profit, less-than 2-year","Serbias Technical College","Guayama","Guayama Municipio"
785,NA,NA,NA,NA,NA,NA,NA,2127,NA,2127,2127,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17.97,-66.11,"PR",NA,"Inter American University of Puerto Rico-Guayama","Guayama",""
791,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.15,-65.81,"PR",NA,"Instituto de Banca y Comercio Inc","Humacao","Humacao Municipio"
792,NA,NA,634,758,NA,NA,634,554,758,554,554,0,0,0,0,NA,NA,NA,NA,0,0,0,18.15,-65.81,"PR","Private nonprofit, 2-year","Humacao Community College","Humacao",""
792,NA,NA,16,11,NA,NA,16,NA,11,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.15,-65.81,"PR","Private nonprofit, less-than 2-year","Ryder Memorial School for Practical Nursing","Humacao",""
792,NA,NA,NA,228,NA,NA,NA,202,228,202,202,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.15,-65.81,"PR",NA,"Industrial Technical College","Humacao",""
792,NA,NA,NA,NA,NA,NA,NA,3845,NA,3845,3845,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.15,-65.81,"PR",NA,"University of Puerto Rico-Humacao","Humacao",""
794,NA,NA,3430,1357,NA,NA,3430,1512,1357,1512,1512,0,0,0,0,NA,NA,NA,NA,0,0,0,18.18,-66.3,"PR","Private for-profit, less-than 2-year","D'Mart Institute","Barranquitas","Barranquitas Municipio"
794,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.18,-66.3,"PR",NA,"Instituto de Banca y Comercio Inc","Barranquitas","Barranquitas Municipio"
795,NA,NA,NA,6048,NA,NA,NA,5497,6048,5497,5497,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.05,-66.5,"PR",NA,"Inter American University of Puerto Rico-Ponce","Juana Diaz","Juana Díaz Municipio"
795,NA,NA,NA,505,NA,NA,NA,NA,505,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.05,-66.5,"PR",NA,"Emmas Beauty Academy","Juana Diaz","Juana Díaz Municipio"
795,NA,NA,NA,NA,NA,NA,NA,437,NA,437,437,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.05,-66.5,"PR",NA,"Emma's Beauty Academy-Juana Diaz","Juana Diaz","Juana Díaz Municipio"
795,NA,NA,NA,NA,NA,NA,NA,214,NA,214,214,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.05,-66.5,"PR",NA,"Dewey University-Juana Díaz","Juana Diaz","Juana Díaz Municipio"
850,NA,NA,2384,2602,NA,NA,2384,NA,2602,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,17.76,-64.82,"VI","Public, 4-year or above","University of the Virgin Islands","Kingshill",""
901,NA,NA,NA,NA,NA,NA,NA,484,NA,484,484,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.47,-66.1,"PR",NA,"Center for Advanced Studies On Puerto Rico and the Caribbean","San Juan","San Juan Municipio"
902,NA,NA,NA,722,NA,NA,NA,NA,722,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.4,-66.06,"PR",NA,"Universal Career Community College Inc.","San Juan",""
907,NA,NA,230,NA,NA,NA,230,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45,-66.08,"PR","Private for-profit, less-than 2-year","Antilles School of Technical Careers","San Juan","San Juan Municipio"
907,NA,NA,262,NA,NA,NA,262,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45,-66.08,"PR","Private for-profit, less-than 2-year","Maison D'Esthetique Academy","San Juan","San Juan Municipio"
907,NA,NA,321,274,NA,NA,321,188,274,188,188,0,0,0,0,NA,NA,NA,NA,0,0,0,18.45,-66.08,"PR","Private for-profit, less-than 2-year","Century College","San Juan","San Juan Municipio"
907,NA,NA,NA,402,NA,NA,NA,NA,402,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.45,-66.08,"PR",NA,"Puerto Rico Conservatory of Music","San Juan","San Juan Municipio"
909,NA,NA,5484,5673,NA,NA,5484,NA,5673,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.44,-66.07,"PR","Private nonprofit, 4-year or above","University of Sacred Heart","San Juan","San Juan Municipio"
909,NA,NA,NA,354,NA,NA,NA,675,354,675,675,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.44,-66.07,"PR",NA,"Antilles School of Technical Careers","San Juan","San Juan Municipio"
909,NA,NA,NA,NA,NA,NA,NA,5060,NA,5060,5060,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.44,-66.07,"PR",NA,"Universidad del Sagrado Corazon","San Juan","San Juan Municipio"
